product_name,price,barcode
HACHIS PORC-VEAU,5.66,2040845005660
HACHIS PORC-VEAU,5.06,2040848005063
HACHIS PORC-VEAU,5.41,2040845005417
400G PATE NOIS CRU,3.49,0450031907142
MERGELSTOKS.GROO,2.05,541068380851
BIO CAROTTES,2.39,540011239500
6PC POMME PINK LAD,3.99,370047661163
6PC POMME PINK LAD,3.99,541068380851
REDUCTION S/ARTICLE,-3.99,
HET TRAGSTE BROOD,4.4,543000017739
HET TRAGSTE BROOD,4.4,543000017739
750G POMMES NOISET,5.45,541068380851
750G POMMES NOISET,5.45,541068380851
750G PUREE BELGE,5.39,542503620004
125GR MESCLUN,1.99,540011236283
NUTRI-BOOST -10%,-0.2,505931902246
6PC PUREE BELGE,5.39,542503620004
DLL OEUFFS BIO MIX,2.95,540011210790
NUTRI-BOOST -10%,-0.3,505931902246
375G XTRA CHO NOIR,3.69,505931902246
6PC POMME PINK LAD,3.99,541068380851
6PC POMME PINK LAD,3.99,541068380851
REDUCTION S/ARTICLE,-3.99,
BIO HOUMOUS 200G,2.99,540011234720
NUTRI-BOOST -10%,-0.3,505931902246
BIO HOUMOUS 200G,2.99,540011234720
NUTRI-BOOST -10%,-0.3,505931902246
SOMA MULTIGRAIN 40,2.49,871089902039
NUTRI-BOOST -10%,-0.25,505931902246
TOM BELG GRAPP,2.69,541068380851
