product_name,price,barcode
32CL MOGU MOGU FR,1.69,885038910329
FRISK XL TINS PEP,2.65,8731149
250G DLL NICARAGUA,4.49,540011359433
250G L28 INDONESIA,4.99,540011364022
21EME A 1/2 PRIX,-2.37,540011359433
250G L28 INDONESIA,4.99,540011364022
21EME A 1/2 PRIX,-0.13,540011359433
250G DLL NICARAGUA,4.49,540011359433
21EME A 1/2 PRIX,-2.24,540011359433
250G L28 BRAZIL,4.99,540011359431
21EME A 1/2 PRIX,-0.13,540011359431
350G HG GRANOLA,4.99,54195802185
350G HG GRANOLA,4.99,54195802185
CORIANDRE BIO,2.29,540011957590
MENTHE GROS PO BIO,2.29,540011237293
75G CHIPS POIS BIO,1.85,540011364773
250G L28 BRAZIL,4.99,540011359431
CARPACCIO,5.49,2043564005492
CARPACCIO,4.83,204356
BIO BANANEN,2.59,401407169271
33C CANADA DRY CAN,1.15,312448019734
33C CANADA DRY CAN,1.15,312448019734
33CL SCHW MOJITO Z,1.11,541022130662
33CL SCHW MOJITO Z,1.11,541022130662
33CL SCHWEPPES TON,0.61,312448018685
33CL SCHWEPPES TON,0.61,312448018685
CARPACCIO,2.99,204356404013
HET TRAGSTE BROOD P,4.90,543000017740
HET TRAGSTE BROOD P,4.90,543000017740
HET TRAGSTE BROOD P,-4.90,543000017740
AVOCAI,4 x 1.45,540011956524
6PC POMME PINK LAD,3.99,541147400141
6PC POMME PINK LAD,3.99,541147400141
POMME GRENA,3.29,540011232460
FM BIO SW POT 360G,6.49,425015408092
1KG FARINE FERMENT,1.89,541023109582
COURGETTES,0.80 Kg x 2.99/ Kg,2160
MANGUE,2.19,540011954346
TORTILLA BIO,1.89,540011102688
HERTA PATE BRISSEE,1.99,312448006561
HERTA PATE BRISSEE,1.99,312448006561
DORITOS NACHO CHEE,1.75,871039816198
GAROF MOZZA BUF A D,3.69,801678400092
GAROF MOZZA BUF A D,3.69,801678400092
FRASSE 500G,3.70,540038701546
MANGUE,2.19,540011954346
PEREN,0.205 Kg x 2.65/ Kg,583
GAROF MOZZA BUF A D,3.69,801678400092
DUO FRAMBOISE MY,5.79,540011959742
200GR HOUMOUS,2.19,540011238642
NATURAL OLIVES BIO,2.79,540011959445
PEREN,0.220 Kg x 2.65/ Kg,583
200G DE INSTANT GO,10.65,871130054496
GARZPACHO 1L,5.39,842217401002
GARZPACHO 1L,5.39,842217401002
21EME A 1/2 PRIX,-2.70,540011359433
MANDARINES,0.280 Kg x 2.39/ Kg,2356
GAROF MOZZA BUF A D,3.69,801678400092
160G FEVES DE SOJA,3.29,308369107964
DANONE ACT FRAISES,2.49,541014641777
6X33CL LEFFE 0.0 C,8.39,540012826106
50C COCA COLA REG.,1.35,5449147
TOMATE CERISE GRAP,4.49,540011958191
TOMATE CERISE GRAP,4.49,540011958191
33CL SCHWEPPES TON,0.61,312448018685
33CL SCHWEPPES TON,0.61,312448018685
25CL CORE ZERO PET,1.05,5011257
AUBERGINE GRAFFITI,5.03,"1,260 Kg x 3,99/ Kg"
SAN MARZANO,4.33,"1,085 Kg x 3,99/ Kg"
SAN PELLEGRINO,0.89,800227001490
CAROTTES BIO,2.39,540011235900
CAROTTES BIO,2.39,540011235900
OIGNON ROUGE 2PC,1.99,540011231473
PDT GRENAILLE 1KG,2.89,540011237842
33CL SCH GINGER AL,1.11,312448018594
33CL SCH GINGER AL,1.11,312448018594
TOTAAL,225.77,
PROMO,-9.94,
TOTAAL,215.83,
NUTRI-BOOST -10%,-8.60,
TOTAAL,215.83,
REDUCTION NUTRI-BOOST,-8.60,
TOTAAL,207.23,
BANCONTACT,207.23,
POI: 01691910,,
TICKET CLIENT,,
TERUG,0.00,
ANCIENT SOLDE DE POINTS,5993,
POINTS SUR MONTANT DES ACHATS,103,
TOTAL POINTS TICKET,103,
NOUVEAU SOLDE DE POINTS,6096,
Total Timbre(s) Ticket Mascotte,13,
TIMBRE(s) MASCOTTE REÇU,13,
SN 80836950,225.77,
"GS: 225,77",225.77,
"NS: 207,23",,
BIO = BE-BIO-01,,
DU COTE DE LA VRAIE VIE,,
