product_name,price,barcode
HET TRAAGSTE BROOD P,4.9,543000017740
HET TRAAGSTE BROOD P,4.9,543000017740
HET TRAAGSTE BROOD P,4.9,0450031907142
HET TRAAGSTE BROOD P,4.9,543000017740
DUN STOKBROOD,2.5,599
MULTIGRAINS SUN,2.49,590262055218
MULTIGRAINS SUN,2.49,590262055218
NUTRI-BOOST -10%,-0.24,0
NUTRI-BOOST -10%,-0.25,0
BIO CAROTTES,2.29,540011239500
BIO BANANEN,2.59,401407169271
12T KNOOR BOU POU,1.99,872048212116
BURGER LIMOUSIN,5.25,540011960556
BURGER LIMOUSIN,5.25,540011960556
BURGER LIMOUSIN,5.25,540011960556
BURGER LIMOUSIN,5.25,540011960556
BURGER LIMOUSIN,5.25,540011960556
HACHIS PORC-VEAU,11.16,204084
HACHIS PORC-VEAU,10.14,204084
MANGUE,0.99,540011958508
NUTRI-BOOST -10%,-0.8,0
BIO BANANEN,2.59,401407169271
250ML H.OLIVE CITR,4.29,5400119374598
ECHAPPE 500G,0.99,540011958508
NUTRI-BOOST -10%,-0.1,0
