product_name,price,barcode
FENOUILS,2.1,4500315907142
FENOUILS,2.1,4500315907142
BIO CAROTTES,2.29,450011239500
BIO CAROTTES,2.29,450011239500
HOUMOUS,2.19,450011238642
HOUMOUS,2.19,450011238642
HOUMOUS,2.19,450011238642
HOUMOUS,2.19,450011238642
APPEL PINK LADY 6P,3.99,377047661163
APPEL PINK LADY 6P,3.99,377047661163
MANGUE,1.99,450011954346
MANGUE,1.99,450011954346
MANGUE,1.99,450011954346
MANGUE,1.99,450011954346
MANGUE,1.99,450011954346
MANGUE,1.99,450011954346
CHIQUITA C BANANES,2.55,2004
AVOCAT,8.7,540011596924
MANDARINES A FEUIL,4.01,2016
RIZ DLONG BIO,2.65,540011351051
100GR JEUNES POUS,1.19,540011236373
TOURNEDOS BOEUF,7.54,204003
TOURNEDOS BOEUF,7.54,204003
SAUMON BELLE-VUE,5.99,540011236373
ZESPRI KIWI GOLD,4.5,803335572026
VERMICEL LAIT,4.69,871570011548
MOZZARELLA MAXI,2.85,800043013526
MOZZARELLA MAXI,2.85,800043013526
SAUMON FUME,8.99,540011236373
DLL PUREE POMME DE,3.39,540011756256
TORTELLO TOM,2.49,540011957537
TORTELLO TOM,2.49,540011957537
TORTELLO TOM,2.49,540011957537
VILEDA EPON UNIVER,3.99,5401020820746
DANONE ACT FRAISES,2.49,540104641777
DANONE ACT FRAISES,2.49,540104641777
NOSTAL CONF FIGUES,4.19,540104601006
HG SCHIMMELVLEKENRE,7.59,871157700155
