product_name,price,barcode
UL DOUX SH CAMIL,3.69,3600542260568
364ML DOUX REM MERV,7.79,3600542290590
RAISIN MIX 500G,4.99,5400111959756
HOUMOUS,2.49,5400121386842
HOUMOUS,2.49,5400121386842
500GR L RIS GRAI,1.79,5400141263283
500GR L RIS GRAI,1.79,5400141263283
250GR TOGRELLO TOM,2.49,5400157937577
250GR TOGRELLO TOM,2.49,5400157937577
EXCELLENCE 70,2.39,3046920021800
EXCELLENCE 70,2.39,3046920021800
OEUFS FRAIS BIO 12PC,6.19,5410938108534
AVOCAT,4.35,5400111956924
125GR MESCLUN,2.39,5400141263283
125GR MESCLUN,2.39,5400141263283
LINDET EXCELLENCE,2.39,3046920021831
LINDET EXCELLENCE,2.39,3046920021831
MOZZARELLA MAXI,2.89,3046920021831
SHEZZA PATE PIZZA,1.99,3154230005060
SHEZZA PATE PIZZA,1.99,3154230005060
DANONE ACT FRAISES,2.49,5410146411777
DANONE ACT FRAISES,2.49,5410146411777
ULTRA DOUX SH MERV,3.29,3600542448197
MOZZARELLA MAXI,2.89,8000433185124
CAME FROM FR ENT,3.99,8718300000000
DELTO VEG CHIC CUR,2.99,5411188113554
DELTO VEG CHIC CUR,2.99,5411188113554
COCIGRETTES,1.79,202160
AVOCAT,4.35,5400111956924
HACHIS,7.20,2047270000000
HACHIS,7.20,2047270000000
FILET PUR DE PORC,5.47,2040740000005
FILET PUR DE PORC,7.85,2040740000005
