product_name,price,barcode
SAUMON BELLE-VUE,5.99,540011959141
125G CHIPS SEL,2.45,543000185002
200G MEDAILLON DE VEAU,4.33,204031
200G MEDAILLON DE VEAU,4.79,204031
200G MEDAILLON DE VEAU,4.0,204031
200G MEDAILLON DE VEAU,3.79,204031
200G MEDAILLON DE VEAU,4.49,204031
200G MEDAILLON DE VEAU,4.9,543000017740
"1,005 Kg x 3,79/ Kg",3.81,2405
100GR JEUNES POUS,1.19,540011236373
100GR JEUNES POUS,1.19,2226572011356
FILET DE POULET,11.39,2208572
CARLSB BEURRE SALE,5.15,541115600047
SAL BLE EMB 100GR,1.39,540011230202
100GR JEUNES POUS,1.19,540011236373
PT SUISSE M 6X60G,2.49,5401625
AUBEL BEURRE 500G,9.19,541060301789
GALBANI RICOTTA 25,2.39,800043019401
200G MEDAILLON DE VEAU,4.79,204031
200G MEDAILLON DE VEAU,4.14,204031
200G DUUVIS CRAC A,1.95,878749801154
200G MEDAILLON DE VEAU,4.52,204031
SAL BLE EMB 100GR,1.39,540011230202
PECORINO ROMANO AO,4.89,540011236262
TM BENNEE NOTEN,11.79,541068364589
FLEURES 38,19.99,871762913030
LIJNZAAD GEBROKEN 15,2.09,542003640937
DIXMONT BEUR 250G,5.05,5410614044
JENVERBRESEN,6.68,316290003122
GMBER POEDER,5.69,316290003171
60G MEDIT HERB MIX,5.59,323475003043
35G MEDIT HERB MIX,6.73,316290003144
DILLE,7.57,323475003001
GUACAMOLE DO 200GR,3.09,540011238853
GOACAMOLE DO 200GR,3.09,540011238853
BIO HOMOUS 200G,2.99,540011234720
BIO HOMOUS 200G,2.99,540011234720
BIO GINGEMBRE,1.56,2156
COUSTRON ROUGE,4.45,2155
COURGETTES,5.08,2160
DOC APEROL,11.49,800223000030
BIO PDT FARINE 2KG,4.99,540011239602
GAROF MOZZA BUFAL D,3.69,801678400092
GAROF MOZZA BUFAL D,3.69,801678400092
GAROF MOZZA BUFAL D,3.69,801678400092
GAROF MOZZA BUFAL D,3.69,801678400092
GAROF MOZZA BUFAL D,3.69,801678400092
GAROF MOZZA BUFAL D,3.69,801678400092
DOC PROSECCO DOC,10.99,800622000166
DOC PROSECCO DOC,10.99,800622000166
TOM BELG GRAPP,5.56,2523
BIO CAROTTES,2.29,540011237500
APPEL PINK LADY 6P,3.49,370047661163
APPEL PINK LADY 6P,3.49,370047661163
COLIMBUS OEufs 5+1,3.2,541094600062
COLIMBUS OEufs 5+1,3.2,541094600062
COLIMBUS OEufs 5+1,3.2,541094600062
250ML HO HERB ITAL,4.29,540011375000
6X33C CANADA DRY,7.09,31448519735
BEBILIN POT BIO,2.39,540011237273
CORIANDRE BIO,2.39,540011957590
BIO THYM,1.49,540011237380
MANDARINES A FEUIL,4.5,2016
"1,005 Kg x 3,79/ Kg",3.81,2405
NUTRI-BOOST,-11.51,0450031907142
