product_name,price,barcode
500G SP K LAIT CHO,5.49,505931902579
500G SP K LAIT CHO,5.49,505931902579
"1,25 Kg x",5.49,2148
SOMA MULTIGRAIN 40,2.49,871089902039
CHICKEN NUGGETS,5.69,505175100054
JAMBON A L OS AUTH,4.62,2208488
JAMBON A L OS AUTH,4.71,2208488
JAMBON A L OS AUTH,4.68,2208488
JAMBON A L OS AUTH,4.68,2208488
350G CHOCO-CARAMEL,3.19,540011369008
CIBOULETTE BIO,2.29,540011957593
340G PAIN TOM KET,2.05,871570012205
HET TRAAGSTE BROOD P,4.5,543000017740
DLL SAMOURAI TD,1.39,540011302806
DLL MAYO TD,1.25,540011300584
450G DLL POIS BIOL,1.29,540011127155
DLL PAP. CUISSON,1.99,540011366622
HET TRAAGSTE BROOD P,4.5,543000017740
HET TRAAGSTE BROOD P,4.5,543000017740
BIO CAROTTES,2.39,540011239500
CAMP FROM FR ENT,4.45,871280000060
HET TRAAGSTE BROOD P,4.5,543000017740
PATE DE LARD 1L,4.59,540011362228
MANGUE,2.99,540011594346
200G SM MINI TORTI,4.98,731131038417
SALADE POULET,2.19,540011356113
DES DE POULET,7.0,2205567007006
BIO BANANEN,2.59,401407169271
DLL YA MAIG NAT 8X,1.39,540011300584
220G PAIN 8X,1.39,2205020007094
EMINCE POULET,7.09,2290520
FAIREBEL 1/2 E,8.09,542502728002
ECHALOTES 500G,1.05,540011355008
KLEEN GREEN XL 4 STUK,4.65,541174000844
MYRtilles 500GR,7.29,540011959739
EM 335G RHUBARBE,4.29,360858004773
SUZI CHOCO LAIT 8P,4.09,541012601257
Mandarines Feuille,4.09,541012601257
"0,965 Kg x",4.04,2016
NUTRI-BOOST,-6.19,0450031907142
ELEC CHEQ REPAS,153.4,
