product_name,price,barcode
750G MCC DUCHESSE,5.45,32568300505
750G MCC DUCHESSE,5.45,32568300505
BIO CAROTTES,2.39,540011239500
NUTRI-BOOST -10%,-0.23,543000017740
HET TRAGSTE BROOD P,4.9,543000017740
SAUMON BELLE-VUE,5.99,540011959141
SAUMON BELLE-VUE,5.99,540011959141
ROSBIF,21.83,2040079021832
NUTRI-BOOST -10%,-2.19,540011581591
BIOEATE CERISE GRAP,4.99,540011581591
NUTRI-BOOST -10%,-0.5,871794800243
FARMER RAUWKOST,2.85,871794800243
BURGER ANGUS,5.0,540011960558
200G DUVIES CRAC A,1.95,871794800154
BIO 300 FM PEN PES,5.99,542501540227
NUTRI-BOOST -10%,-0.6,540011960558
MINI BABYBEL,5.09,307378119029
BARILLA SPAGHETTI5,1.89,807680019505
BARILLA SPAGHETTI5,1.89,807680019505
132G B-READY T6,2.75,800050037255
MELI-MELO JORIS,1.29,54040404043
MEI BABYBEL,5.09,307378119029
MEI BABYBEL,5.09,2040840410962
HACHIS PORC-VEAU,10.96,204084
OREO GRIG VANILLE,1.49,76230033673
NOCCI CONF FIGUES,4.09,541004601006
